Year,NormalizedPop,Predicted
7.48,4076912566,11297412182.434578
7.52,4169403822,11615025670.19367
7.56,4261165664,11941568488.491259
7.6,4350974028,12277291674.978249
7.64,4438407161,12622453324.934555
7.68,4523683631,12977318789.686056
7.72,4607024639,13342160880.599806
7.76,4688905315,13717260078.81434
7.8,4769721176,14102904750.866308
7.84,4849477330,14499391370.37918
7.88,4928149985,14907024745.98449
7.92,5006108678,15326118255.650791
7.96,5083818998,15756994087.600534
8,5161659902,16199983488.0
8.04,5239778241,16655427015.61276
8.08,5318240586,17123674803.612478
8.12,5397238471,17605086828.75608
8.16,5476955155,18100033188.12474
8.2,5557516177,18608894383.644722
8.24,5638995376,19132061614.60757
8.28,5721373258,19669937078.41382
8.32,5804546011,20222934279.77209
8.36,5888343706,20791478348.59062
8.4,5972603412,21376006366.80627
8.44,6057277586,21976967704.401623
8.48,6142283493,22594824364.869156
8.52,6227370463,23230051340.38734
8.56,6312231076,23883136976.982533
8.6,6396615483,24554583349.956497
8.64,6480392263,25244906649.869125
8.68,6563505392,25954637579.372112
8.72,6645876647,26684321761.199627
8.76,6727453853,27434520157.62868
8.8,6808189409,28205809501.732635
8.84,6888014604,28998782740.75836
