1961,1.686099431333795e+16
1962,1.7549061966038124e+16
1963,1.796195832325012e+16
1964,1.8580484686270412e+16
1965,1.914981527164065e+16
1966,1.96703639044355e+16
1967,2.010439719184548e+16
1968,2.0553140471802704e+16
1969,2.1073195766994524e+16
1970,2.1941081467924876e+16
1971,2.214489997477688e+16
1972,2.2459251081042184e+16
1973,2.3277136610322388e+16
1974,2.3646702744315884e+16
1975,2.4235424111869756e+16
1976,2.4595508987199344e+16
1977,2.5332749145349136e+16
1978,2.6432567260356788e+16
1979,2.6878089155444988e+16
1980,2.7482405158630412e+16
1981,2.808777452983042e+16
1982,2.894217664030475e+16
1983,2.9978962784790584e+16
1984,3.060606173355219e+16
1985,3.119981492095855e+16
1986,3.1809991036122932e+16
1987,3.26212931919373e+16
1988,3.344321201715319e+16
1989,3.4207091024052256e+16
1990,3.4617495827454428e+16
1991,3.4959853844244004e+16
1992,3.5775310176465104e+16
1993,3.6380797428337016e+16
1994,3.724728620732255e+16
1995,3.814701434696416e+16
1996,3.883294555650435e+16
1997,3.9555214571959656e+16
1998,4.0316145935998616e+16
1999,4.105755364745438e+16
2000,4.176606287270222e+16
2001,4.226392235433878e+16
2002,4.2838513969590904e+16
2003,4.347690390397779e+16
2004,4.420356876089858e+16
2005,4.4990099051525384e+16
2006,4.5841802196191064e+16
2007,4.687072985754067e+16
2008,4.775436309214742e+16
2009,4.835744709708369e+16
2010,4.9901171190612536e+16
2011,5.074846671727875e+16
2012,5.1795510453729384e+16
2013,5.2624073840179176e+16
2014,5.359366940194173e+16
2015,5.438107699679126e+16
2016,5.524576799758706e+16
2017,5.625882848151363e+16
2018,5.709668710149813e+16
2019,0
1961,1.686099431333795e+16
1962,1.7549061966038124e+16
1963,1.796195832325012e+16
1964,1.8580484686270412e+16
1965,1.914981527164065e+16
1966,1.96703639044355e+16
1967,2.010439719184548e+16
1968,2.0553140471802704e+16
1969,2.1073195766994524e+16
1970,2.1941081467924876e+16
1971,2.214489997477688e+16
1972,2.2459251081042184e+16
1973,2.3277136610322388e+16
1974,2.3646702744315884e+16
1975,2.4235424111869756e+16
1976,2.4595508987199344e+16
1977,2.5332749145349136e+16
1978,2.6432567260356788e+16
1979,2.6878089155444988e+16
1980,2.7482405158630412e+16
1981,2.808777452983042e+16
1982,2.894217664030475e+16
1983,2.9978962784790584e+16
