Country,Year,Population,Food supply kcal per capita per day,FoodSupplyperyear
Africa,Y1993,681869300,2347.1289999999999,584158851007490
Africa,Y1994,699445440,2359.5783999999999,602394668553911
Africa,Y1995,717270100,2378.7541999999999,622766380961938
Africa,Y1996,735361100,2392.8299999999999,642251846833245
Africa,Y1997,753737600,2405.6815999999999,661837226575078
Africa,Y1998,772437200,2425.0796,683725919040409
Africa,Y1999,791504200,2433.4789999999998,703029729925807
Africa,Y2000,810984260,2431.8618000000001,719853599437773
Africa,Y2001,830902500,2453.9623999999999,744236274969090
Africa,Y2002,851298400,2467.8193000000001,766810476876379
Africa,Y2003,872248300,2474.8027000000002,787904493487300
Africa,Y2004,893842750,2488.2809999999999,811808155111654
Africa,Y2005,916154300,2520.1754999999998,842737411694072
Africa,Y2006,939210050,2539.4376999999999,870548874353943
Africa,Y2007,963021800,2542.0473999999999,893537177934162
Africa,Y2008,987623550,2558.3674000000001,922246921234178
Africa,Y2009,1013045700,2565.3780000000002,948578480397729
Africa,Y2010,1039304000,2594.2073,984102058657508
Africa,Y2011,1066409660,2600.5632000000001,1012241987040990
Africa,Y2012,1094343000,2604.1073999999999,1040172147119940
Africa,Y2013,1123045100,2603.3993999999998,1067163252922220
Africa,Y2014,1152433700,2593.4883,1090920510878630
Africa,Y2015,1182438800,2589.3647000000001,1117544330350080
Africa,Y2016,1213040500,2578.5300000000002,1141669381969730
Africa,Y2017,1244222300,2584.3499000000002,1173659608452710
Africa,Y2018,1275921000,2588.1035000000002,1205308696125580
Africa,Y2019,1308064100,2585.8899999999999,1234616104575390
Africa (FAO),Y1961,270510700,1993,196781656161500
Africa (FAO),Y1962,277177280,2025,204868657080000
Africa (FAO),Y1963,284055300,2028,210263414166000
Africa (FAO),Y1964,291157440,2037,216477012427200
Africa (FAO),Y1965,298478340,2042,222464861152200
Africa (FAO),Y1966,306022270,2009,224401540256950
Africa (FAO),Y1967,313800030,2041,233770039348950
Africa (FAO),Y1968,321824640,2053,241157684860800
Africa (FAO),Y1969,330113900,2086,251345422321000
Africa (FAO),Y1970,338682850,2105,260218500726250
Africa (FAO),Y1971,347551330,2087,264748963384150
Africa (FAO),Y1972,356727460,2049,266791116422100
Africa (FAO),Y1973,366190460,2079,277878137714100
Africa (FAO),Y1974,375910820,2120,290879792516000
Africa (FAO),Y1975,385868160,2127,299570675356800
Africa (FAO),Y1976,396051500,2127,307476562282500
Africa (FAO),Y1977,406487260,2143,317952302335700
Africa (FAO),Y1978,417267740,2169,330344610741900
Africa (FAO),Y1979,428541400,2198,343805908978000
Africa (FAO),Y1980,440387700,2233,358935792946500
Africa (FAO),Y1981,452847140,2241,370413110870100
Africa (FAO),Y1982,465865600,2246,381911960224000
Africa (FAO),Y1983,479365200,2210,386679938580000
Africa (FAO),Y1984,493208580,2182,392806109369400
Africa (FAO),Y1985,507294850,2233,413468131018250
Africa (FAO),Y1986,521607140,2268,431796822634800
Africa (FAO),Y1987,536142820,2254,441090059442200
Africa (FAO),Y1988,550874050,2274,457230970240500
Africa (FAO),Y1989,565780160,2278,470429229635200
Africa (FAO),Y1990,580821250,2291,485691441568750
Africa (FAO),Y1991,595983740,2322,505114099162200
Africa (FAO),Y1992,611269600,2320,517623097280000
Africa (FAO),Y1993,620328000,2342,530274984240000
Africa (FAO),Y1994,635998000,2356,546920120120000
Africa (FAO),Y1995,651920000,2376,565371100800000
Africa (FAO),Y1996,668132000,2390,582844950200000
Africa (FAO),Y1997,684634000,2403,600489058230000
Africa (FAO),Y1998,701408000,2423,620321728160000
Africa (FAO),Y1999,718424000,2433,637992841080000
Africa (FAO),Y2000,735664000,2433,653302736880000
Africa (FAO),Y2001,753123000,2457,675404472015000
Africa (FAO),Y2002,770857000,2473,695810216765000
Africa (FAO),Y2003,788976000,2480,714181075200000
Africa (FAO),Y2004,807625000,2493,734894330625000
Africa (FAO),Y2005,826909000,2525,762100007125000
Africa (FAO),Y2006,846870000,2546,786987822300000
Africa (FAO),Y2007,867487000,2550,807413525250000
Africa (FAO),Y2008,888756000,2567,832724377980000
Africa (FAO),Y2009,910657000,2575,855903747875000
Africa (FAO),Y2010,968893000,2594,917357581330000
Africa (FAO),Y2011,994150000,2601,943811214750000
Africa (FAO),Y2012,1056421000,2604,1004085903660000
Africa (FAO),Y2013,1084143000,2603,1030038843585000
Africa (FAO),Y2014,1122411300,2593,1062300562828500
Africa (FAO),Y2015,1151776000,2589,1088411043360000
Africa (FAO),Y2016,1181768000,2579,1112439580280000
Africa (FAO),Y2017,1212358000,2584,1143447571280000
Africa (FAO),Y2018,1243456400,2588,1174593784568000
Africa (FAO),Y2019,1274963600,2586,1203425392404000
Albania,Y1961,1685926,2200.6819999999998,1354218255559.1799
Albania,Y1962,1737675,2217.9050000000002,1406709295869.3799
Albania,Y1963,1790571,2132.4348,1393670707978.8401
Albania,Y1964,1843649,2243.3445000000002,1509618043089.3799
Albania,Y1965,1896175,2227.6404000000002,1541758552946.55
Albania,Y1966,1947836,2228.7316999999998,1584539401454.4399
Albania,Y1967,1998743,2239.6567,1633921825307.76
Albania,Y1968,2049214,2322.1747999999998,1736901085371.6299
Albania,Y1969,2099738,2387.1264999999999,1829504181342.8101
Albania,Y1970,2150704,2401.8577,1885475011429.5901
Albania,Y1971,2202186,2352.299,1890772972849.1101
Albania,Y1972,2254058,2384.7602999999999,1962016631788.55
Albania,Y1973,2306284,2434.864,2049653078162.24
Albania,Y1974,2358852,2502.6147000000001,2154703656968.4099
Albania,Y1975,2411733,2509.7878000000001,2209322391993.9502
Albania,Y1976,2464981,2702.8525,2431805221280.4102
Albania,Y1977,2518685,2807.2078000000001,2580722344876.2002
Albania,Y1978,2572852,2725.7345999999998,2559712776733.9102
Albania,Y1979,2627506,2650.1545000000001,2541603350132.1099
Albania,Y1980,2682697,2646.6127999999999,2591521979833.3799
Albania,Y1981,2737018,2736.5999999999999,2733895062462
Albania,Y1982,2790284,2734.3796000000002,2784838911449.3398
Albania,Y1983,2844867,2881.7305000000001,2992321100855.3799
Albania,Y1984,2904142,2811.75,2980488263002.5
Albania,Y1985,2969671,2658.5671000000002,2881700410724.7998
Albania,Y1986,3044201,2794.0927999999999,3104609734986.27
Albania,Y1987,3124892,2598.5679,2963889075390.8799
Albania,Y1988,3200972,2703.4238,3158558119095.7598
Albania,Y1989,3257913,2684.1958,3191879882848.3701
Albania,Y1990,3286070,2693.7637,3230942069805.54
Albania,Y1991,3280397,2712.8179,3248178690757.7998
Albania,Y1992,3245887,2818.4402,3339143517991.9502
Albania,Y1993,3195196,2989.0232000000001,3485937964979.73
Albania,Y1994,3146518,3094.1401000000001,3553555144497.71
Albania,Y1995,3112923,2930.9065000000001,3330145482965.3198
Albania,Y1996,3098699,3065.3065999999999,3466938811081.3901
Albania,Y1997,3099747,2928.2954,3313095831661.29
Albania,Y1998,3110699,2912.7294999999999,3307128031165.98
Albania,Y1999,3122700,2971.9301999999998,3387362948972.1001
Albania,Y2000,3129246,2887.5549999999998,3298092525738.4502
Albania,Y2001,3129701,2942.9834000000001,3361890202836.6401
Albania,Y2002,3126183,2990.2588000000001,3412055122548.5498
Albania,Y2003,3118017,2879.5571,3277155416448.8101
Albania,Y2004,3104893,2891.9104000000002,3277361410519.3301
Albania,Y2005,3086810,2975.6624000000002,3352636125324.5601
Albania,Y2006,3063021,2964.0344,3313798358351.6802
Albania,Y2007,3033993,2984.4367999999999,3304987531451.98
Albania,Y2008,3002683,3098.4553000000001,3395842855283.0098
Albania,Y2009,2973044,3172.1504,3442294090543.4199
Albania,Y2010,2948029,3183.9688000000001,3426047810485.75
